timestamp,type,d0,d1,d2,d3,d4,d5
55581520,MAG,0.23499999940395355,0.07058333605527878,0.5918333530426025,-4.796643562339074e-19,-228389415813120.0,9.58530824157755e-12
55681520,MAG,0.24166665971279144,0.06599999964237213,0.5876666307449341,1199674.375,3.8406618515932425e-14,8.825438771256508e-17
55781520,MAG,0.22958333790302277,0.0664166659116745,0.5885000228881836,-1.0469666449353099e-06,-3.150234012324546e+29,1.3577632375260297e-36
55881520,MAG,0.2172500044107437,0.054749999195337296,0.5893333554267883,23.980247497558594,-992374138339328.0,-3.99092003888768e-09
55981520,MAG,0.21975000202655792,0.04516666755080223,0.5872499942779541,48.00140380859375,-2.6633079918016485e-20,-8.858760621767436e-13
56081520,MAG,0.2095833271741867,0.03291666507720947,0.5872499942779541,2.4229003156416102e+19,2.082113041979028e-07,-3.4375527847556073e+22
56181520,MAG,0.1991666704416275,0.040583331137895584,0.5820833444595337,7.274662762498246e+29,-67849741664256.0,1.6318713183881734e-25
56281520,MAG,0.18266665935516357,0.038333334028720856,0.575166642665863,-2.224044669613719e+23,4.108927875918584e-35,523674144.0
56381520,MAG,0.1679166704416275,0.034583333879709244,0.5768333077430725,2.4286490596381327e-09,-59329126334464.0,-0.5104585289955139
56481520,MAG,0.15433333814144135,0.02683333307504654,0.575166642665863,-9.948931660581703e+22,-2.7645921065889345e+28,-1.617045427337871e-06
56581520,MAG,0.14100000262260437,0.01641666702926159,0.5739166736602783,3.6896920204162598,0.618855893611908,8.821902437459172e-22
56681520,MAG,0.12291666865348816,-0.009583333507180214,0.5739166736602783,52.75533676147461,1.6825156518715508e+25,-1.0598783184434524e-08
56781520,MAG,0.09708333015441895,-0.05808333307504654,0.5654166340827942,1.2151754828319297e+23,-768642777088.0,-6.976258824767928e+33
56881520,MAG,0.07516666501760483,-0.1029166653752327,0.5460000038146973,3.1318620097009644e+36,-3.576972363596685e-14,4.424718040594269e-22
56981520,MAG,0.06833333522081375,-0.12833333015441895,0.5447499752044678,-57.37974166870117,9.294732833958357e+23,-1.6787184620170592e-07
57081520,MAG,0.08058333396911621,-0.12224999815225601,0.5443333387374878,8.994243067342311e-14,7.688219001527084e+28,4.802533189274648e-22
57181520,MAG,0.06875000149011612,-0.13708333671092987,0.5349999666213989,5837.31884765625,2.1612906553146343e+20,1.3499104056791111e-09
57281520,MAG,0.05458333343267441,-0.16374999284744263,0.5122500061988831,-4.236810492602977e-39,-1.5911187040663535e-35,-2.7930105750458938e+20
57381520,MAG,0.05375000089406967,-0.18141666054725647,0.5147500038146973,2.259548373107187e+35,2.7702005619967274e-11,6.877179839648306e-05
57481520,MAG,0.04933333396911621,-0.1758333295583725,0.5118333101272583,-1.4711834895527044e-32,0.00019382413302082568,-1.0969416638174949e-17
57581520,MAG,0.057500001043081284,-0.15808333456516266,0.5229166746139526,-4.614949256076528e-10,10929016832.0,2.147594457824198e-08
57681520,MAG,0.06833333522081375,-0.09041666239500046,0.5410000085830688,-5.9820125074918945e-33,-0.8095527291297913,3.0476192773895612e-27
57781520,MAG,0.0780833289027214,-0.05041666701436043,0.5460000038146973,-40210851168256.0,1.033214242539853e-19,2.967855822211263e-11
57881520,MAG,0.09333333373069763,-0.01850000023841858,0.5584999918937683,-5.783281742768749e-29,-4.144739127645393e-35,9.09452161279643e-27
57981520,MAG,0.09416666626930237,0.0664166659116745,0.5525000095367432,6.528426695581591e-20,-1.0831910411207938e+28,1.9075627277215064e+34
58081520,MAG,0.08266666531562805,0.08183333277702332,0.5366666316986084,3.4672432555545904e+31,-4.04745906814976e+16,2.827902212469737e-17
58181520,MAG,0.07183333486318588,0.07666666805744171,0.5324999690055847,4.416512728450117e-13,2006848165117952.0,7.580277589286043e-32
58281520,MAG,0.16208332777023315,0.06933332979679108,0.5674999952316284,-9.025889498210332e-22,-4.753414987588261e+36,41.117713928222656
58381520,MAG,0.132916659116745,0.05433333292603493,0.5554166436195374,1.3227908396478495e-16,5.9022593409215444e+26,-2.16234977632843e-33
58481520,MAG,0.059583332389593124,0.07499999552965164,0.534583330154419,-1.658583076694621e+24,8.388587593799457e-05,3.0883852618762714e-34
58581521,MAG,0.02708333358168602,0.11625000089406967,0.5029166340827942,-133122.015625,-2.711484633419423e+32,-3.647774686941864e+30
58681521,MAG,0.019166667014360428,0.15850000083446503,0.476666659116745,-1.3103747278364608e-06,2.890675953224399e+21,4.3071206430504745e-37
58781520,MAG,0.017500000074505806,0.1550000011920929,0.48225000500679016,4.384627539668664e+36,2.957942100272747e+34,7.712181115948624e-09
58881520,MAG,-0.0022499999031424522,0.12183333188295364,0.49308332800865173,-1.6970943209939015e+33,-2.8539191493256708e+22,-7.0211559183181545e+25
58981520,MAG,0.0018333332845941186,0.1093333289027214,0.49308332800865173,3.104066953446966e-33,-2.2664141863936848e+30,-1.5197205271988423e-08
59081521,MAG,0.0022499999031424522,0.10974999517202377,0.4818333387374878,5.677421585020545e-22,-9.57645008949183e-21,3.92225636599566e-15
59181520,MAG,0.003499999875202775,0.1093333289027214,0.4947499930858612,3954698511974400.0,3.29380145828374e+38,-3.0202231658356352e-33
59281520,MAG,0.028333332389593124,0.10766666382551193,0.4989166557788849,1.057596464457458e-26,-3.5306072732055327e-06,5.078394926805174e-10
59381520,MAG,0.03333333134651184,0.1197500005364418,0.5066666603088379,10279532.0,nan,-2.3620608772034757e-05
59481520,MAG,0.023749999701976776,0.12333333492279053,0.5020833015441895,-28877705216.0,5828503622647808.0,-0.0004430839035194367
59581520,MAG,0.023749999701976776,0.14766666293144226,0.4805833399295807,-3.352760932101323e-21,-47170057142272.0,44.60627746582031
59681520,MAG,0.03333333134651184,0.148499995470047,0.48749998211860657,-1.6593829269184358e-32,3.0503801633400776e+27,1.3447045035058235e-37
59781520,MAG,0.04349999874830246,0.15933333337306976,0.492083340883255,-3.7245567320543584e-17,-1.7927595519218187e-10,-191367.53125
59881520,MAG,0.04391666501760483,0.16374999284744263,0.48666664958000183,-2.8580355419172067e-16,-32585189163008.0,1.452773946774793e-26
59981520,MAG,0.04600000008940697,0.1730833351612091,0.49308332800865173,-7.705591807585905e-22,-3.708825117719234e+25,6.803840797660762e-36
60081520,MAG,0.048499997705221176,0.17749999463558197,0.49308332800865173,-1.295279022928142e-10,-4.466141589887229e-08,5.398325675365356e-10
60181520,MAG,0.04475000128149986,0.17624999582767487,0.4947499930858612,-27.282041549682617,5.47829115404852e-09,8997478400.0
60281520,MAG,0.04724999889731407,0.17874999344348907,0.49808332324028015,-36158.61328125,4.977190187771541e-11,5.725138960762023e-22
