timestamp,type,d0,d1,d2,d3,d4,d5
17751722,IMU,0.6799532771110535,0.24779987335205078,-9.785101890563965,-0.005326321814209223,-0.0063915858045220375,-0.0
17761722,IMU,0.6883329749107361,0.2621650993824005,-9.78989028930664,-0.0063915858045220375,-0.005326321814209223,0.0010652643395587802
17771722,IMU,0.6643909811973572,0.27892449498176575,-9.78869342803955,-0.009587379172444344,-0.0063915858045220375,-0.0021305286791175604
17781722,IMU,0.6835445761680603,0.27653029561042786,-9.787496566772461,-0.0074568502604961395,-0.0074568502604961395,-0.0021305286791175604
17791722,IMU,0.6763619780540466,0.27653029561042786,-9.793481826782227,-0.004261057358235121,-0.0021305286791175604,-0.0010652643395587802
17798743,GPS,34.73085021972656,-86.70589447021484,186.69700622558594,0.17900000512599945,-0.21199999749660492,-0.925000011920929
17801933,IMU,0.6811503767967224,0.272938996553421,-9.799467086791992,-0.004261057358235121,-0.005326321814209223,-0.0
17802560,MAG,0.24724999070167542,-0.03708333149552345,0.6209999918937683,-0.004261057358235121,-0.0063915858045220375,-0.0
17811722,IMU,0.6775590777397156,0.25977087020874023,-9.794678688049316,-0.004261057358235121,-0.0074568502604961395,-0.0
17821722,IMU,0.6715735793113708,0.25977087020874023,-9.786299705505371,-0.0074568502604961395,-0.005326321814209223,0.0010652643395587802
17831722,IMU,0.6847416758537292,0.2669534981250763,-9.786299705505371,-0.0074568502604961395,-0.0063915858045220375,-0.0
17841722,IMU,0.6703764796257019,0.2801215946674347,-9.794678688049316,-0.0074568502604961395,-0.0063915858045220375,-0.0
17851722,IMU,0.690727174282074,0.3016694188117981,-9.792284965515137,-0.0031957929022610188,-0.005326321814209223,-0.0
17861722,IMU,0.6835445761680603,0.2885012924671173,-9.78989028930664,-0.004261057358235121,-0.005326321814209223,-0.0021305286791175604
17871722,IMU,0.689530074596405,0.27653029561042786,-9.7791166305542,-0.0031957929022610188,-0.0074568502604961395,-0.0010652643395587802
17881722,IMU,0.6811503767967224,0.26815059781074524,-9.780313491821289,-0.004261057358235121,-0.004261057358235121,-0.0021305286791175604
17891722,IMU,0.6715735793113708,0.2693476974964142,-9.80904483795166,-0.0074568502604961395,-0.0063915858045220375,-0.0021305286791175604
17898159,GPS,34.73085021972656,-86.70589447021484,186.6280059814453,0.20499999821186066,-0.07199999690055847,-0.9210000038146973
17901933,IMU,0.6883329749107361,0.27892449498176575,-9.794678688049316,-0.0063915858045220375,-0.005326321814209223,-0.0021305286791175604
17902560,MAG,0.24766665697097778,-0.04183333367109299,0.6243333220481873,0.15600000321865082,-0.09000000357627869,-0.9350000023841858
17911722,IMU,0.6775590777397156,0.2825157940387726,-9.800664901733398,-0.0063915858045220375,-0.005326321814209223,-0.004261057358235121
17921722,IMU,0.6835445761680603,0.28730419278144836,-9.801861763000488,-0.004261057358235121,-0.004261057358235121,-0.0010652643395587802
17931722,IMU,0.6823474764823914,0.2753331959247589,-9.773131370544434,-0.004261057358235121,-0.0063915858045220375,-0.0021305286791175604
17941722,IMU,0.6787561774253845,0.25737667083740234,-9.78989028930664,-0.004261057358235121,-0.0063915858045220375,0.0010652643395587802
17951722,IMU,0.6655880808830261,0.27892449498176575,-9.801861763000488,-0.005326321814209223,-0.005326321814209223,-0.0021305286791175604
17961722,IMU,0.6751648783683777,0.27653029561042786,-9.794678688049316,-0.0074568502604961395,-0.005326321814209223,-0.0
17971722,IMU,0.6871358752250671,0.2908954918384552,-9.786299705505371,-0.005326321814209223,-0.004261057358235121,-0.0021305286791175604
17981722,IMU,0.6847416758537292,0.2861070930957794,-9.78989028930664,-0.005326321814209223,-0.004261057358235121,-0.0010652643395587802
17991722,IMU,0.6859387755393982,0.2825157940387726,-9.78869342803955,-0.005326321814209223,-0.004261057358235121,-0.0010652643395587802
17998441,GPS,34.73085021972656,-86.70589447021484,186.6230010986328,0.1809999942779541,-0.10199999809265137,-0.9259999990463257
18001933,IMU,0.6739677786827087,0.2621650993824005,-9.786299705505371,-0.005326321814209223,-0.0074568502604961395,-0.0
18002560,MAG,0.2539166510105133,-0.03933333232998848,0.6175000071525574,0.06800000369548798,-0.06800000369548798,-0.9319999814033508
18011722,IMU,0.6835445761680603,0.26336219906806946,-9.803058624267578,-0.0063915858045220375,-0.0063915858045220375,-0.0
18021722,IMU,0.690727174282074,0.2861070930957794,-9.7791166305542,-0.0074568502604961395,-0.005326321814209223,-0.0
18031722,IMU,0.6871358752250671,0.2861070930957794,-9.793481826782227,-0.005326321814209223,-0.005326321814209223,-0.0021305286791175604
18041722,IMU,0.6859387755393982,0.2777273952960968,-9.786299705505371,-0.005326321814209223,-0.005326321814209223,-0.0021305286791175604
18051722,IMU,0.6859387755393982,0.26575639843940735,-9.801861763000488,-0.005326321814209223,-0.0063915858045220375,-0.0
18061722,IMU,0.6835445761680603,0.28131869435310364,-9.799467086791992,-0.0063915858045220375,-0.004261057358235121,-0.0021305286791175604
18071722,IMU,0.6835445761680603,0.272938996553421,-9.798270225524902,-0.004261057358235121,-0.004261057358235121,-0.0021305286791175604
18081722,IMU,0.6883329749107361,0.2645592987537384,-9.78869342803955,-0.0074568502604961395,-0.005326321814209223,-0.0021305286791175604
18091722,IMU,0.6871358752250671,0.27892449498176575,-9.782708168029785,-0.0074568502604961395,-0.005326321814209223,0.0010652643395587802
18094301,GPS,34.73085021972656,-86.70589447021484,186.6269989013672,0.1899999976158142,-0.04500000178813934,-0.9359999895095825
18101933,IMU,0.6787561774253845,0.29807811975479126,-9.768342971801758,-0.0074568502604961395,-0.004261057358235121,-0.004261057358235121
